"Language","Glottocode","iso-639-3","Family","fam_glottocode","Area","Creator","Latitude","Longitude","Archive","Archive_link","Translation","Annotation license","Audio license","DOI","Gloss","Extended speakers","Extended word tokens","Extended texts","Core speakers","core word tokens","Core texts","Years of recordings in core set"
"Teop","teop1238","tio","Austronesian","aust1307","Papunesia","Mosel, Ulrike","-5.67","154.97","TLA","https://hdl.handle.net/1839/cb80e4b8-978d-44c1-bfa3-d47bf702f8d0","English","CC BY","CC BY","10.34847/nkl.9322sdf2","all","11","12148","11","11","12148","11","2003-2004"
"Texistepec Popoluca","texi1237","poq","Mixe-Zoque","mixe1284","North America","Wichmann, Søren","17.89","-94.81","na","na","Spanish","CC BY","CC BY","10.34847/nkl.c50ck58f","all","1","8473","4","1","8473","4","1993"
"Mojeño Trinitario","trin1278","trn","Arawakan","araw1281","South America","Rose, Françoise","-15.33","-65.41","na","na","Spanish/English","CC BY","CC BY","10.34847/nkl.cbc3b4xr","some","21","18336","32","6","7792","10","2005-2018"
"Asimjeeg Datooga","tsim1256","na","Nilotic","nilo1247","Africa","Griscom, Richard","-3.42","35.43","ELAR","http://hdl.handle.net/2196/00-0000-0000-000E-D158-9","Swahili/English","CC BY","CC BY","10.34847/nkl.f77c7m72","none","12","8784","40","12","8784","40","2015-2017"
"Urum","urum1249","uum","Turkic","turk1311","Eurasia","Skopeteas, Stavros and Moisidi, Violeta and Tsetereli, Nutsa and Lorenz, Johanna and Schröter, Stefanie","42.04","43.99","TLA","https://hdl.handle.net/1839/00-0000-0000-0021-4DA5-8","English","CC BY-NC-ND","CC BY-NC-ND","10.34847/nkl.ac166n10","all","32","18802","246","30","10035","132","2015"
"Vera'a","vera1241","vra","Austronesian","aust1307","Papunesia","Schnell, Stefan","-13.89","167.43","TLA","https://hdl.handle.net/1839/00-0000-0000-000A-2494-8","English","CC BY","CC BY","10.34847/nkl.3e2cu8c4","all","10","17794","11","7","12380","8","2007"
"Warlpiri","warl1254","wbp","Pama-Nyungan","pama1250","Australia","O'Shannessy, Carmel","-20.10","131.05","TLA","https://hdl.handle.net/1839/bbfb5fb0-e24b-47a3-9690-3f2d5a61ad42","English","CC BY-NC-ND","CC BY-NC-ND","10.34847/nkl.042dv614","none","18","7171","22","18","7171","22","2004-2010"
"Yongning Na","yong1270","nru","Sino-Tibetan","sino1245","Eurasia","Michaud, Alexis","27.8","100.9","Pangloss","https://pangloss.cnrs.fr/corpus/Yongning_Na?lang=en","French","CC BY-NC-SA","CC BY-NC-SA","10.34847/nkl.abe65p95","none","1","8877","6","1","8877","6","2006-2012"
"Yucatec Maya","yuca1254","yua","Mayan","maya1287","North America","Skopeteas, Stavros","18.78","-88.96","TLA","https://hdl.handle.net/1839/00-0000-0000-0021-E91B-F","Spanish","CC BY-NC-ND","CC BY-NC-ND","10.34847/nkl.9cbb3619","none","6","10857","10","6","10857","10","2015"
"Yurakaré","yura1255","yuz","Isolate","na","South America","Gipper, Sonja and Ballivián Torrico, Jeremías","-16.75","-65.12","LAC","https://lac.uni-koeln.de/collection/11341/00-0000-0000-0000-1BDA-F","Spanish","CC BY-NC-ND","audio linked","10.34847/nkl.7ca412wg","none","16","20206","20","16","20206","20","2013"
